,Regression_Volume,ARIMA_Volume,Holts_winter_Volume,Ses_Volume,Fbprophet_Volume
0,215825.16825762633,260952.36993864842,218795.91866148973,259755.99967813492,217858.16172404197
1,206152.7460058232,206314.72055686626,190904.14284023858,259755.99967813492,219524.24020089727
2,203328.69871641113,180874.48042033074,185092.07340758145,259755.99967813492,221029.0852767666
3,210883.5059284453,176931.6670947899,195723.3513068701,259755.99967813492,222695.1637536219
4,220966.86897079326,187850.13436862238,204274.6390430472,259755.99967813492,224307.4977634819
5,222907.1580976922,197172.1448937581,201937.71498194433,259755.99967813492,225973.5762403372
6,211213.58436644298,196462.13090961077,187889.99824584185,259755.99967813492,227585.9102501972
7,207546.09528062574,187287.1932952254,177762.86518779706,259755.99967813492,229251.98872705252
8,243718.79522900208,184977.29757135108,217180.0660593616,259755.99967813492,230918.0672039078
9,255034.67305436597,202462.34152796224,221563.81835804606,259755.99967813492,232530.40121376782
10,273309.9781811349,212656.6503004286,224273.30365746727,259755.99967813492,234196.47969062315
11,303868.44583933713,241023.1533547681,249779.16957737505,259755.99967813492,235808.81370048312
